"AAA","(or AAB, AAC, AAD... etc., in sequence) Amended meteorological message (a message type designator)"
"AAL","Above aerodrome level"
"ABNDT","Abundant"
"ABNML","Abnormal"
"ABT","About"
"ABV","Above"
"Ac or AC","Altocumulus"
"AC","Anticipated Convection Outlook"
"ACC","Area Control Center or area control"
"ACCAS","Altocumulus Castellanus"
"ACCID","Notification of an aircraft accident"
"ACCUM","Accumulate"
"ACFT","Aircraft"
"ACK","Acknowledge"
"ACLT","Accelerate"
"ACLTD","Accelerated"
"ACLTG","Accelerating"
"ACLTS","Accelerates"
"ACPT","Accept or accepted"
"ACPY","Accompany"
"ACRS","Across"
"ACSL","Altocumulus Standing Lenticular"
"ACT","Active or activated or activity"
"ACTV","Active"
"ACTVTY","Activity"
"ACYC","Anticyclone"
"AD","Aerodrome"
"ADA","Advisory area"
"ADDN","Addition or additional"
"ADJ","Adjacent"
"ADL","Additional"
"ADM","Administrative Messages"
"ADQT","Adequate"
"ADQTLY","Adequately"
"ADR","Advisory route"
"ADRNDCK","Adirondack"
"ADVCT","Advect"
"ADVCTD","Advected"
"ADVCTG","Advecting"
"ADVCTN","Advection"
"ADVCTS","Advects"
"ADVIS","Headwater Advisory Program"
"ADVN","Advance"
"ADVNG","Advancing"
"ADVS","Advisory service"
"ADVY","Advisory"
"ADVYS","Advisories"
"ADZ","Advise"
"AFCT","Affect"
"AFCTD","Affected"
"AFCTG","Affecting"
"AFD","Area Forecast Discussion"
"AFDK","After dark"
"AFOS","Automation of Field Operations and Services"
"AFT","After (time or place)"
"AFTN","Afternoon"
"AGC","Automatic Gain Control"
"AGL","Above ground level"
"AGN","Again"
"AGRD","Agreed"
"AGRMT","Agreement"
"AGRS","Agrees"
"AHD","Ahead"
"AHOS-S","Automatic Hydrologic Observing System - Satellite"
"AHOS","Automatic Hydrologic Observing System"
"AHOS-T","Automatic Hydrologic Observing System - Telephone"
"AIRMET","AIRman's METeorological Information"
"AK","Alaska"
"AL","Alabama"
"ALERT","Automated Local Evaluation in Real Time"
"ALF","Aloft"
"ALG","Along"
"ALGHNY","Allegheny"
"ALQDS","All quadrants"
"ALSTG","Altimeter setting"
"ALT","Altitude"
"ALTA","Alberta"
"ALTHO","Although"
"ALTM","Altimeter"
"ALUTN","Aleutian"
"AMD","Amend or amended (used to indicate amended meteorological message; message type designator)"
"AMDD","Amended"
"AMDG","Amending"
"AMDT","Amendment"
"AMP","Amplify"
"AMPG","Amplifying"
"AMPLTD","Amplitude"
"AMS","Air mass"
"AMSL","Above mean sea level"
"AMT","Amount"
"ANLYS","Analysis"
"ANS","Answer"
"AOA","At or above"
"AOB","At or Below"
"AP","Anomalous Propagation or Airport"
"APCH","Approach"
"APCHG","Approaching"
"APCHS","Approaches"
"API","Antecedent Precipitation Index"
"APLCN","Appalachian"
"APLCNS","Appalachians"
"APPR","Appear"
"APPRG","Appearing"
"APPRS","Appears"
"APR","April"
"APRNT","Apparent"
"APRNTLY","Apparently"
"APRX","Approximate or approximately"
"APRXLY","Approximately"
"APSG","After passing"
"AQI","Air Quality Statement"
"AR","Arkansas"
"Arcus","Arc Cloud"
"ARFOR","Area forecast (in aeronautical meteorological code)"
"ARND","Around"
"ARPT","Airport"
"ARR","Arrive or arrival"
"ART","Automatic Radio Theodolite Master Control Unit As or AS - Altostratus"
"ASAP","AHOS SHEF Automatic Processing System or as soon as possible"
"ASAPTRAN","The software component of ASA"
"ASC","Ascent to or ascending to"
"ASH","Assistant Service Hydrologist"
"ASL","Above Sea Level"
"ASMD","As amended"
"ASOS","Automated Surface Observing System"
"ASSOCD","Associated"
"ASSOCN","Association"
"AT...","At (followed by time at which weather change is forecast to occur)"
"ATAD","Automated Telephone Answering Device"
"ATDTDCS","Automated Tone Dial Telephone Data Collection System"
"ATLC","Atlantic"
"ATMU","Air Transportable Mobile Unit"
"ATP...","At... (time or place)"
"ATTM","At this time"
"ATTN","Attention"
"AUG","August"
"AVBL","Available or availability"
"AVG","Average"
"AVN","Aviation model"
"AWC","Aviation Weather Center"
"AWHPS","Area Wide Hydrologic Prediction System"
"AWIPS","Advanced Weather Interactive Processing System"
"AWOS","Automated Weather Observation System"
"AWT","Awaiting"
"AZ","Arizona"
"AZM","Azimuth"
"B-","Convective Inhibition"
"B+","Convective Available Potential Energy"
"B","Blue"
"BA","Braking action"
"BACLIN","Baroclinic"
"BAJA","Baja California"
"BASE","Cloud base"
"BATROP","Barotropic"
"BC","British Columbia"
"BCFG","Fog patches"
"BCH","Beach"
"BCKG","Backing"
"BCM","Become"
"BCMG","Becoming"
"BCMS","Becomes"
"BD","Blowing dust"
"BDA","Bermuda"
"BDRY","Boundary"
"BECMG","Becoming"
"BFDK","Before dark"
"BFR","Before"
"BGN","Begin"
"BGNG","Beginning"
"BGNS","Begins"
"BHND","Behind"
"BINOVC","Breaks in overcast"
"BKN","Broken"
"BL","Blowing (followed by DU = dust, SA = sand or SN = snow)"
"BLD","Build"
"BLDG","Building"
"BLDS","Builds"
"BLDU","Blowing Dust"
"BLDUP","Buildup"
"BLKHLS","Black Hills"
"BLKT","Blanket"
"BLKTG","Blanketing"
"BLKTS","Blankets"
"BLO","Below"
"BLSA","Blowing Sand"
"BLSN","Blowing Snow"
"BLW","Below"
"BLZD","Blizzard"
"BM","Benchmark"
"BND","Bound"
"BNDRY","Boundary"
"BNDRYS","Boundaries"
"BNTH","Beneath"
"BR","Mist"
"BRF","Brief"
"BRG","Branching"
"BRK","Break"
"BRKG","Breaking"
"BRKHIC","Breaks in higher clouds"
"BRKS","Breaks"
"BRKSHR","Berkshire"
"BRKSHRS","Berkshires"
"BRM","Barometer"
"BRN","Bulk Richardson Number"
"BRS","Branches"
"BT","Bathythermograph"
"BTL","Between layers"
"BTWN","Between"
"BWER","Bounded Weak Echo Region"
"BYD","Beyond"
"C","Center (runway identification) or Degrees Celsius (Centigrade)"
"CA","Cloud-Air Lightning or California"
"CAA","Cold Air Advection"
"CADAS","Centralized Automated Data Acquisition System"
"CAPE","Convective Available Potential Energy"
"CAPPI","Constant Altitude PPI."
"CARIB","Caribbean"
"CASCDS","Cascades"
"CAT","Category or Clear Air Turbulence"
"CAVOK","Visibility, cloud and present weather better than prescribed values or conditions"
"CAVU","Ceiling and visibility unlimited"
"Cb or CB","Cumulonimbus Cloud"
"CBMAM","Cumulonimbus Mammatus"
"CBS","Cumulonimbi"
"Cc or CC","Cirrocumulus"
"CC","Cloud-Cloud Lightning"
"CCA","(or CCB, CCC ... etc, in sequence) Corrected meteorological message (message type designator)"
"CCL","Convective Condensation Level"
"CCLDS","Clear of clouds"
"CCLKWS","Counter-clockwise"
"CCSL","Cirrocumulus Standing Lenticular"
"CD","Climatological Data"
"CDA","NOAA or NESDIS Command and Data Acquisition (CDA) Station"
"CDC","Climate Diagnostics Center"
"CDFNT","Cold front"
"CDFNTL","Cold frontal"
"CEM","Civil Emergency Message"
"CFP","Cold front passage"
"CFS","Cubic Feet per Second"
"CG","Cloud-Ground Lightning"
"CHC","Chance"
"CHCS","Chances"
"CHG","Change"
"CHGD","Changed"
"CHGG","Changing"
"CHGS","Changes"
"CHSPK","Chesapeake"
"Ci or CI","Cirrus"
"CIG","Ceiling"
"CIGS","Ceilings"
"CIN","Convective Inhibition"
"CISK","Conditional Instability of the Second Kind."
"CLA","Clear type of ice formation"
"CLD","Cloud"
"CLDNS","Cloudiness"
"CLDS","Clouds"
"CLKWS","Clockwise"
"CLR","Clear"
"CLRG","Clearing"
"CLRS","Clears"
"CM","Centimeter"
"CMPLX","Complex"
"CNCL","Cancel"
"CNCLD","Canceled"
"CNCLG","Cancelling"
"CNCLS","Cancels"
"CNDN","Canadian"
"CNFDC","Confidence"
"CNIF","Calibration Network Information Files"
"CNL","Cancel or canceled"
"CNTR","Center"
"CNTRD","Centered"
"CNTRL","Central"
"CNTRLN","Centerline"
"CNTRS","Centers"
"CNTY","County"
"CNTYS","Counties"
"CNVG","Converge"
"CNVGG","Converging"
"CNVGNC","Convergence"
"CNVTN","Convection"
"CNVTV","Convective"
"CNVTVLY","Convectively"
"CO","Colorado"
"COE","An acronym for Corps of Engineers"
"COM","Communications"
"COMPAR","Compare"
"COMPARD","Compared"
"COMPARG","Comparing"
"COMPARS","Compares"
"COND","Conditions"
"CONS","Continuous"
"CONSHELF","Continental Shelf"
"CONT","Continue(s) or continued"
"CONTD","Continued"
"CONTDVD","Continental Divide"
"CONTG","Continuing"
"CONTLY","Continually"
"CONTRAILS","Condensation Trails"
"CONTS","Continues"
"CONUS","Continental United States"
"COOR","Co-ordinate or co-ordination"
"COORD","Coordinate"
"COR","Correction"
"COT","At the coast"
"COV","Cover or covered or covering"
"CPBL","Capable"
"CPC","Climate Prediction Center"
"CPHC","Central Pacific Hurricane Center"
"CR","Composite Reflectivity"
"CRC","Composite Reflectivity Contour"
"CRC","Circle"
"CRCLC","Circulate"
"CRCLN","Circulation"
"CRNR","Corner"
"CRNRS","Corners"
"CRP","Critical Rainfall Probability"
"CRS","Course"
"Cs or CS","Cirrostratus"
"CS","Combined Shear"
"CSC","Combined Shear Contour"
"CSDR","Consider"
"CSDRBL","Considerable"
"CSI","Conditional Symmetric Instability"
"CST","Coast"
"CSTL","Coastal"
"CT","Connecticut or Cross Totals"
"CTGY","Category"
"CTSKLS","Catskills"
"Cu or CU","Cumulus."
"CUF","Cumuliform"
"CUFRA","Cumulus Fractus"
"CVR","Cover"
"CVRD","Covered"
"CVRG","Covering"
"CVRS","Covers"
"CW","Cloud-Water Lightning or Continuous Wave"
"CWA","County Warning Area"
"CWF","Coastal Marine Forecasts"
"CYC","Cyclonic"
"CYCLGN","Cyclogenesis"
"D-MAWDS","Digital Marine Weather Dissemination System"
"DABRK","Daybreak"
"DALGT","Day light"
"DAMBRK","The Dam Break Forecasting Model"
"DAPM","The Data Acquisition Program Manager"
"DATACOL","The Software System that supports RFC gateway functions"
"DATANET","Hydrologic Data Network Analysis Software"
"dB","decibels"
"DBL","Double"
"dBm","A logarithmic expression for power. See decibel."
"dBZ","A logarithmic expression for reflectivity factor. See decibel."
"DC","District of Columbia"
"DCP","Data Collection Platform"
"DCR","Decrease"
"DCRD","Decreased"
"DCRG","Decreasing"
"DCRGLY","Decreasingly"
"DCRS","Decreases"
"DCS","Data Collection System"
"DDS","Data Distribution System."
"DE","Delaware"
"DEC","December"
"DEG","Degree"
"DEGS","Degrees"
"DELMARVA","Delaware-Maryland-Virginia"
"DEP","Depart or departure"
"DES","Descend or descending to"
"DEV","Deviation or deviating"
"DFCLT","Difficult"
"DFCLTY","Difficulty"
"DFNT","Definite"
"DFNTLY","Definitely"
"DFRS","Differs"
"DFUS","Diffuse"
"DGNL","Diagonal"
"DGNLLY","Diagonally"
"DIF","Diffuse"
"DIGG","Digging"
"DIR","Direction"
"DISC","Discontinue"
"DISCD","Discontinued"
"DISCG","Discontinuing"
"DISRE","Disregard"
"DISRED","Disregarded"
"DISREG","Disregarding"
"DIST","Distance"
"DIV","Divert or diverting"
"DKTS","Dakota's"
"DLA","Delay or delayed"
"DLAD","Delayed"
"DLT","Delete"
"DLTD","Deleted"
"DLTG","Deleting"
"DLY","Daily"
"DMG","Damage"
"DMGD","Damaged"
"DMGG","Damaging"
"DMNT","Dominant"
"DMSH","Diminish"
"DMSHD","Diminished"
"DMSHG","Diminishing"
"DMSHS","Diminishes"
"DNDFTS","Downdrafts"
"DNR","Department of Natural Resources."
"DNS","Dense"
"DNSLP","Downslope"
"DNSTRM","Downstream"
"DNWND","Down wind"
"DOH","Development and Operations Hydrologist"
"DOM","Domestic"
"DP","Dew point temperature or Deep"
"DPND","Deepened"
"DPNG","Deepening"
"DPNS","Deepens"
"DPR","Deeper"
"DPTH","Depth"
"DR...","Low drifting (followed by DU = dust, SA = sand or SN = snow)"
"DRFT","Drift"
"DRFTD","Drifted"
"DRFTG","Drifting"
"DRFTS","Drifts"
"DRG","During"
"DRZL","Drizzle"
"DS","Dust Storm"
"DSA","Special Tropical Disturbance Statement"
"DSCNT","Descent"
"DSF","Day-Second Feet"
"DSIPT","Dissipate"
"DSIPTD","Dissipated"
"DSIPTG","Dissipating"
"DSIPTN","Dissipation"
"DSIPTS","Dissipates"
"DSND","Descend"
"DSNDG","Descending"
"DSNDS","Descends"
"DSNT","Distant"
"DSTBLZ","Destabilize"
"DSTBLZD","Destabilized"
"DSTBLZG","Destabilizing"
"DSTBLZN","Destabilization"
"DSTBLZS","Destabilizes"
"DSTC","Distance"
"DTG","Date-time group"
"DTRT","Deteriorate or deteriorating"
"DTRTD","Deteriorated"
"DTRTG","Deteriorating"
"DTRTS","Deteriorates"
"DU","Dust"
"DUC","Dense upper cloud"
"DUR","Duration"
"DURG","During"
"DURN","Duration"
"DVLP","Develop"
"DVLPD","Developed"
"DVLPG","Developing"
"DVLPMT","Development"
"DVLPS","Develops"
"DVRG","Diverge"
"DVRGG","Diverging"
"DVRGNC","Divergence"
"DVRGS","Diverges"
"DVV","Downward vertical velocity"
"DWNDFTS","Downdrafts"
"DWOPER","Dynamic Wave Routing Model"
"DWPNT","Dew point"
"DWPNTS","Dew points"
"DX","Duplex"
"DZ","Drizzle"
"E","East or eastern longitude"
"EB","Eastbound"
"EBND","East bound"
"ECMWF","European Center for Medium-Range Weather Forecasting model"
"EFCT","Effect"
"EHI","Energy Helicity Index"
"EIF","Enhanced IFLOWS Format"
"EL","Equilibrium Level"
"ELEV","Elevation"
"ELNGT","Elongate"
"ELNGTD","Elongated"
"ELSW","Elsewhere"
"EMBD","Embedded in a layer (to indicate cumulonimbus embedded in layers of other clouds)"
"EMBDD","Embedded"
"EMC","Environmental Modeling Center"
"EMERG","Emergency"
"EMWIN","Emergency Managers Weather Information Network"
"ENCTR","Encounter"
"ENDG","Ending"
"ENE","East-northeast"
"ENELY","East-northeasterly"
"ENERN","East-northeastern"
"ENEWD","East-northeastward"
"ENHNC","Enhance"
"ENHNCD","Enhanced"
"ENHNCG","Enhancing"
"ENHNCMNT","Enhancement"
"ENHNCS","Enhances"
"ENRT","En route"
"ENSO","El Niño Southern Oscillation"
"ENTR","Entire"
"EPD","Extended Forecast Discussion"
"ER","Here...or herewith"
"ERD","Excessive Rainfall Discussion"
"ERL","Environmental Research Laboratories"
"ERN","Eastern"
"ERY","Early"
"ERYR","Earlier"
"ESA","Electronic Systems Analyst"
"ESE","East-southeast"
"ESELY","East-southeasterly"
"ESERN","East-southeastern"
"ESEWD","East-southeastward"
"ESF","Flood Potential Outlook"
"ESNTL","Essential"
"ESP","Extended Streamflow Prediction."
"ESPINIT","ESP Initialization Program"
"ESS","Water Supply Outlook Product"
"EST","Eastern Standard Time or Estimate or estimated or estimate (message type designator)"
"ESTAB","Establish"
"ESTS","Estimates"
"ET","Echo Tops or Electronic Technician"
"ETA","Eta model or Estimated time of arrival or estimating arrival"
"ETC","Et cetera or Echo Tops Contour"
"ETD","Estimated time of departure or estimating departure"
"ETIM","Elapsed time"
"EV","Every"
"EVAD","See VAD."
"EVAD","Extended Velocity"
"EVE","Evening"
"EWD","Eastward"
"EXC","Except"
"EXCLV","Exclusive"
"EXCLVLY","Exclusively"
"EXCP","Except"
"EXER","Exercises or exercising or to exercise"
"EXP","Expect or expected or expecting"
"EXPC","Expect"
"EXPCD","Expected"
"EXPCG","Expecting"
"EXTD","Extend or extending"
"EXTDD","Extended"
"EXTDG","Extending"
"EXTDS","Extends"
"EXTN","Extension"
"EXTRAP","Extrapolate"
"EXTRAPD","Extrapolated"
"EXTRM","Extreme"
"EXTRMLY","Extremely"
"EXTSV","Extensive"
"F scale","Old tornado intensity scale named after Tetsuya Fujita."
"F","Fahrenheit"
"FA","Aviation Area Forecast"
"FAA","Federal Aviation Administration"
"FAH","Fahrenheit"
"FAM","Familiar"
"FAX","Facsimile transmission"
"+FC","Funnel cloud (tornado or waterspout)"
"FCEXEC","A component of the NWSRFS FCST Program."
"FCST","Forecast"
"FCSTD","Forecasted"
"FCSTG","Forecasting"
"FCSTR","Forecaster"
"FCSTS","Forecasts"
"FDR","Fire Danger Rating"
"FEB","February"
"FEMA","Federal Emergency Management Agency"
"FEW","Few"
"FFA","Flood or Flash Flood Watch"
"FFG","Flash Flood Guidance"
"FFS","Flash Flood Statement"
"FFW","Flash Flood Warning"
"FG","Fog"
"FIC","Flight information center"
"FIG","Figure"
"FILG","Filling"
"FIR","Flight information region"
"FIRAV","First available"
"FIS","Flight information service"
"FL","Flight level or Florida"
"FLD","Field"
"FLG","Flashing or Falling"
"FLN","National Flood Summary"
"FLRY","Flurry"
"FLRYS","Flurries"
"FLS","River Flood Statement"
"FLT","Flight"
"FLUC","Fluctuating or fluctuation or fluctuated"
"FLW","River Flood Warning, follow(s) or following"
"FLWG","Following"
"FLY","Fly or flying"
"FM","From"
"FMT","Format"
"FNCTN","Function"
"FNT","Front"
"FNTGNS","Frontogenesis"
"FNTL","Frontal"
"FNTLYS","Frontolysis"
"FNTS","Fronts"
"FORNN","Forenoon"
"FOS","Family of Services"
"FOS","Family of Services"
"FPM","Feet per minute"
"FPO","Flood Potential Outlook"
"FQT","Frequent"
"FQTLY","Frequently"
"FREQ","Frequency"
"FRI","Friday"
"FRM","Form"
"FRMG","Forming"
"FRMN","Formation"
"FRONT","Front (relating to weather)"
"FROPA","Frontal passage"
"FROSFC","Frontal surface"
"FRQ","Frequent"
"FRST","Frost"
"FRWF","Forecast wind factor"
"FRZ","Freeze"
"FRZG","Freezing"
"FRZN","Frozen"
"FST","First"
"FT","Feet (dimensional unit) or Terminal forecast"
"FTHR","Further"
"FTP","File Transfer Protocol"
"FU","Smoke"
"FVRBL","Favorable"
"FWD","Forward"
"FYI","For your information"
"FZ","Freezing"
"FZDZ","Freezing drizzle"
"FZFG","Freezing fog"
"FZRA","Freezing rain"
"G","Gust or Green"
"GA","Georgia"
"GEN","General"
"GENLY","Generally"
"GEO","Geographic or true"
"GEOREF","Geographical reference"
"GF","Ground fog"
"GFS","Global Forecast System"
"GICG","Glaze icing"
"GLFALSK","Gulf of Alaska"
"GLFCAL","Gulf of California"
"GLFMEX","Gulf of Mexico"
"GLFSTLAWR","Gulf of St. Lawrence"
"GMDSS","Global Maritime Distress and Safety System"
"GND","Ground"
"GNDFG","Ground fog"
"GOES","Geostationary Orbiting Environmental Satellite"
"GOM","Global Ocean Model"
"GPS","Global Positioning System"
"GR","Hail"
"GRAD","Gradient"
"GRDL","Gradual"
"GRDLY","Gradually"
"GRID","Processed meteorological data in the form of grid point values"
"GRT","Great"
"GRTLKS","Great Lakes"
"GRTLY","Greatly"
"GRTR","Greater"
"GRTST","Greatest"
"GS","Small hail and/or snow pellets"
"GSTS","Gusts"
"GSTY","Gusty"
"GV","Ground visibility"
"HADS","Hydrometeorological Automated Data System"
"HAZ","Hazard"
"HCVIS","High clouds visible"
"HDFRZ","Hard freeze"
"HDG","Heading"
"HDRAIN","An Hourly Digital Rainfall Product of the WSR-88D."
"HDSVLY","Hudson Valley"
"HDWND","Head wind"
"HEL","Helicopter"
"HGT","Height or height above"
"HI","High, Hail Index, or Heat Index"
"HIC","Hydrologist in Charge or Hydrometeorological Information Center of the Office of Hydrology (OH)"
"HIER","Higher"
"HIFOR","High level forecast"
"HIGH","High"
"HJ","Sunrise to sunset"
"HLF","Half"
"HLS","Hurricane Local Statement"
"HLSTO","Hailstones"
"HLTP","Hilltop"
"HLYR","Haze layer aloft"
"HMD","Hemispheric Map Discussion"
"HMT","Hydrometeorological Technicians"
"HN","Sunset to sunrise"
"HND","Hundred"
"HOD","The Hydrologist on Duty or Hydrologic Operations Division of the Office of Hydrology (OH)."
"HOL","Holiday"
"HP","High Precipitation"
"HPA","Hectapascal"
"HPC","Hydrometeorological Prediction Center"
"HPD","Hourly Precipitation Data"
"HR","Hour"
"HRL","The Hydrological Research Laboratory at the Office of"
"HRS","Hours"
"HRZN","Horizon"
"HSA","Hydrologic Service Area"
"HSB","The Hydrologic Systems Branch in the Office of Hydrology (OH)."
"HSD","Heavy Snow Discussion"
"HSF","High Seas Forecasts"
"HTC","The Hydrometeorological Training Council"
"HTG","Heating"
"HURCN","Hurricane"
"HUREP","Hurricane report"
"HV","Have"
"HVY","Heavy"
"HVYR","Heavier"
"HVYST","Heaviest"
"HWO","Severe Weather Potential Statement"
"HWVR","However"
"HWY","Highway"
"HYR","Higher"
"Hz","Hertz (Hz)"
"HZ","Haze"
,
"J/KG","Joules per Kilogram"
"JAN","January"
"JCTN","Junction"
"JTSTR","Jet stream"
"JUL","July"
"JUN","June"
"KBDI","Keetch-Byram Drought Index"
"KFRST","Killing frost"
"KG","Kilograms"
"KLYR","Smoke layer aloft"
"KM","Kilometers"
"KMH","Kilometers per hour"
"KOCTY","Smoke over city"
"KPA","Kilopascal"
"KS","Kansas"
"KT","Knots"
"KW","Kilowatts"
"KY","Kentucky"
"LA","Louisiana"
"LABRDR","Labrador"
"LAM","Logical acknowledgment (message type designator)"
"LAN","Inland"
"LAT","Latitude"
"LCL","Local"
"LCLY","Locally"
"LCTD","Located"
"LCTMP","Little change in temperature"
"LCTN","Location"
"LDG","Landing"
"LEN","Length"
"LEVEL","Level"
"LEWP","Line Echo Wave Pattern"
"LFM","Limited Fine Mesh Model"
"LFTG","Lifting"
"LGRNG","Long range"
"LGT","Light or lighting"
"LGTD","Lighted"
"LGTR","Lighter"
"LGWV","Long wave"
"LI","Lifted Index"
"LIS","Lifted indices"
"LK","Lake"
"LKLY","Likely"
"LKS","Lakes"
"LLJ","Low Level Jet"
"LLWAS","Low level wind shear alert system"
"LLWS","Low Level Wind Shear"
"LMT","Local mean time"
"LMTD","Limited"
"LMTG","Limiting"
"LMTS","Limits"
"LN","Line or Lines"
"LO","Low"
"LOC","Local or locally or location or located"
"LONG","Longitude"
"LONGL","Longitudinal"
"LP","Low Precipitation"
"LRG","Large"
"LRGLY","Largely"
"LRGR","Larger"
"LRGST","Largest"
"LSQ","Line squall"
"LSR","Local Storm Report."
"LST","Local standard time"
"LTD","Limited"
"LTG","Lightning"
"LTGCC","Lightning cloud-to-cloud"
"LTGCCCG","Lightning cloud-to-cloud cloud-to-ground"
"LTGCG","Lightning cloud-to-ground"
"LTGCW","Lightning cloud-to-water"
"LTGIC","Lightning in cloud"
"LTL","Little"
"LTLCG","Little change"
"LTR","Later"
"LTST","Latest"
"LV","Light and variable (relating to wind) or Leaving"
"LVL","Level"
"LVLS","Levels"
"LWR","Lower"
"LWRD","Lowered"
"LWRG","Lowering"
"LYR","Layer or layered"
"LYRD","Layered"
"LYRS","Layers"
"M","Mesocyclone, Mach number (followed by figures), or Meters (preceded by figures)"
"m /s","Meters squared per second squared (also m /S )"
"MA","Massachusetts"
"MAN","Manitoba"
"MAP","Mean Areal Precipitation or Aeronautical maps and charts"
"MAR","March"
"MAREP","Marine Reporting Program"
"MAX","Maximum"
"MAY","May"
"MB or mb","Millibars."
"MCC","Mesoscale Convective Complex"
"MCD","Mesoscale Discussion"
"MCDW","Monthly Climatic Data of the World"
"McIDAS","Man-computer Interactive Data Access System."
"MCS","Mesoscale Convective System"
"MCW","Modulated continuous wave"
"MD","Maryland"
"MDFY","Modify"
"MDFYD","Modified"
"MDFYG","Modifying"
"MDL","Model"
"MDLS","Models"
"MDS","Minimum Discernible Signal"
"MDT","Moderate"
"MDTLY","Moderately"
"ME","Maine"
"MED","Medium"
"MEGG","Merging"
"MESO","Mesocyclone or Mesoscale"
"MET","Meteorological or meteorology"
"METAR","Aviation routine weather report (in aeronautical meteorological code)"
"METRO","Metropolitan"
"MEX","Mexico"
"MHKVLY","Mohawk Valley"
"MI","Michigan"
"MIC","Meteorologist-In-Charge"
"Micro-ART","Microcomputer Automatic Radiotheodolite Master Control Unit"
"MID","Middle"
"MIDN","Midnight"
"MIFG","Shallow fog"
"MIL","Military"
"MIN","Minutes or Minimum"
"MISG","Missing"
"MLCAPE","Mean Layer CAPE"
"MLLI","Mean Layer Lifted Index"
"MLLW","Mean Lower Low Water"
"MLOS","Microwave Line-Of-Site"
"MLTLVL","Melting level"
"MLW","Mean Low Water"
"MN","Minnesota"
"MNLND","Mainland"
"MNLY","Mainly"
"MNM","Minimum"
"MNT","Monitor or monitoring or monitored"
"MO","Missouri"
"MOD","Meteorological Operations Division or Moderate"
"MOGR","Moderate or greater"
"MON","Above mountains or Monday"
"MOS","Model Output Statistics"
"MOV","Move or moving or movement"
"MOVD","Moved"
"MOVG","Moving"
"MOVMT","Movement"
"MOVS","Moves"
"MPC","Marine Prediction Center"
"MPH","Miles per hour"
"MPL","Max Parcel Level"
"MRF","Medium-Range Forecast model"
"MRGL","Marginal"
"MRGLLY","Marginally"
"MRNG","Morning"
"MRTM","Maritime"
"MS","Mississippi or Minus"
"MSG","Message"
"MSL","Mean Sea Level"
"MST","Most"
"MSTLY","Mostly"
"MSTR","Moisture"
"MT","Montana or Mountain"
"MTN","Mountain"
"MTNS","Mountains"
"MTU","Metric units"
"MTW","Mountain waves"
"MUCAPE","Most Unstable CAPE"
"MULI","Most Unstable Lifted Index"
"MULT","Multiple"
"MULTILVL","Multi-level"
"MWO","Meteorological watch office"
"MX","Mixed type of ice formation (white and clear)"
"MXD","Mixed"
"N","North or Refractivity"
"NAB","Not above"
"NAT","North Atlantic"
"NATL","National"
"NAV","Navigation"
"Navtex","Navigational Telex"
"NB","New Brunswick or Northbound"
"NBFR","Not before"
"NBND","Northbound"
"NBRHD","Neighborhood"
"NC","North Carolina or No change"
"NCCF","NOAA Central Computer Facility."
"NCDC","National Climatic Data Center"
"NCEP","National Centers for Environmental Prediction"
"NCWX","No change in weather"
"ND","North Dakota"
"NE","Northeast or Nebraska"
"NEB","North-eastbound or Nebraska"
"NEC","Necessary"
"NEG","No, negative, permission not granted, or that is not correct"
"NEGLY","Negatively"
"NELY","Northeasterly"
"NERN","Northeastern"
"NESDIS","National Environmental Satellite, Data, and Information Service"
"NEW ENG","New England"
"NEWD","Northeastward"
"NEXRAD","NEXt generation of weather RADar"
